"País","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Culturapolítica","Continente","2019_infl","2019_med","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"Chile",25.1894460666519,87.564,12.436,1.47555844683509,7.97,9.58,8.57,8.13,"América",-0.133968534486016,NA,NA,7.23299980163574,NA,7.23299980163574,4.63983619082604e-317
"China",148.348833270666,59.152,40.848,2.49162820140588,2.26,0,5,6.25,"Asia",5.73012069082172,NA,96.84089,4.27600002288818,NA,4.27600002288818,3.87062950732329e-315
"Chipre",128.708333333333,66.81,33.19,0.77031383453709,7.59,9.17,6.43,6.88,"Europa-Asia",1.86023575304719,NA,NA,8.36999988555908,NA,8.36999988555908,3.09143297456264e-318
"Colombia",44.7487021180712,80.778,19.222,1.92912026786277,6.96,9.17,6.79,5.63,"América",1.90442504982143,NA,95.09251,9.11100006103516,4.50259,9.11100006103516,1.29588819152996e-316
"Comoras",447.244477540227,28.965,71.035,2.8658559669186,3.71,4.33,2.21,3.75,"África",0.474294075066922,NA,58.81702,4.30200004577637,NA,4.30200004577637,1.07301671029448e-318
"Costa Rica",97.9130630630631,79.34,20.66,1.98274148495537,8.07,9.58,7.5,7.5,"América",1.11066212228677,NA,97.86379,9.63199996948242,7.02824,9.63199996948242,1.20841441240598e-317
"Croacia",73.0493745532523,56.947,43.053,-0.400587697691305,6.57,9.17,6.07,5,"Europa",3.45088515630059,NA,NA,8.43200016021729,NA,8.43200016021729,8.8671443656066e-318
"Cuba",108.999596231494,77.037,22.963,0.068028841812254,3,1.08,3.57,4.38,"América",NA,NA,NA,1.70000004768372,NA,1.70000004768372,2.51918440466089e-317
"Dinamarca",137.976565849012,87.874,12.126,0.629088602704045,9.21,10,9.29,9.38,"Europa",1.92748148869582,NA,NA,4.97499990463257,NA,4.97499990463257,1.48948737019377e-317
"Ecuador",68.7886817522951,63.821,36.179,2.00248962909365,6.27,8.75,5.36,4.38,"América",-1.61236867338619,NA,NA,3.52999997138977,NA,3.52999997138977,4.13291545094565e-317
"El Salvador",309.881467181467,72.023,27.977,1.55334406830393,5.96,9.17,4.29,3.75,"América",1.86186467319015,NA,89.0086,4.00600004196167,3.60075,4.00600004196167,1.3621829574268e-317
"Emiratos Árabes Unidos",135.609110109828,86.522,13.478,1.82107565694154,2.76,0,3.93,5,"Asia",0.225275018852898,NA,NA,2.22900009155273,NA,2.22900009155273,3.3364119665935e-317
"Eritrea",NA,40.08,59.92,2.74397622029314,2.37,0,2.14,6.88,"África",NA,NA,76.57052,5.10400009155273,NA,5.10400009155273,7.7845674850651e-318
"Eslovenia",102.96366052404,54.541,45.459,0.855189455705699,7.5,9.58,6.79,6.25,"Europa",1.75354452390444,NA,NA,5.10799980163574,NA,5.10799980163574,5.12628186221148e-318
"España",93.6771974435832,80.321,19.679,0.738481167271324,8.08,9.17,7.14,7.5,"Europa",1.37466410895202,NA,98.4365,15.2550001144409,NA,15.2550001144409,1.13956424017572e-316
