"País","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","Desempleo","Poblacion Activa","2018_pbi","2018_infl","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb","celulares","Años Obligatorios de Educacion"
"Albania",7,4.71,5.56,5,7.65,12.3400001525879,6.51189390662971e-318,1.35940039453163,4.32839557846701,104.612262773723,60.319,39.681,1.31716210445698,94.17699827,9
"Alemania",9.58,8.57,8.33,7.5,9.41,3.3840000629425,2.15215672198382e-316,1.51202554251684,1.22278723255135,237.30759674834,77.312,22.688,0.366515155973305,129.3242137,13
"Angola",1.75,2.86,5.56,5,2.94,7.01900005340576,6.27734414631692e-317,29.0658847207699,-5.16205036467497,24.7130520574316,65.514,34.486,4.31179134171658,43.13051888,6
"Argelia",2.58,2.21,3.89,5,4.12,11.8819999694824,6.01448788295694e-317,7.55658500081616,-0.615183263534163,17.7300750711665,72.629,27.371,2.80499567674668,111.6647921,10
"Argentina",9.17,5.36,6.11,6.25,8.24,9.22000026702881,1.01538800404539e-316,40.7027906889545,-3.46737624314432,16.2585100979651,91.87,8.13,1.14760215897919,132.0931513,14
"Armenia",5.67,4.64,5.56,2.5,5.59,17.496000289917,6.43813484636207e-318,2.7877095139188,4.95169918042562,103.680224798033,63.149,36.851,0.309165596528027,121.259018,12
"Australia",10,8.93,7.78,8.75,10,5.2979998588562,6.54857482237391e-317,1.89461830647863,1.37114449535596,3.24787091037205,86.012,13.988,1.66174925937128,111.012255,10
"Austria",9.58,7.86,8.33,6.88,9.12,4.84800004959106,2.27330127249814e-317,1.70225038320027,1.92211865205813,107.127966860564,58.297,41.703,0.835905515118155,123.5352681,13
"Azerbaiyán",0.5,2.14,3.33,3.75,3.53,4.90000009536743,2.51531389439137e-317,12.1844329641445,0.624884409708642,120.23431716463,55.68,44.32,1.47340015238086,103.9214187,10
"Bélgica",9.58,8.93,5,6.88,8.53,5.94799995422363,2.51467160905178e-317,1.5335694355189,1.02672843817844,377.379590488771,98.001,1.999,0.496003003468172,99.69668646,12
"Bolivia",7.5,4.64,5.56,3.75,7.06,3.53399991989136,2.78244184932529e-317,3.05626671196583,2.75215380976242,10.4801458506416,69.425,30.575,1.92007368157467,100.8164084,14
"Brasil",9.58,5.36,6.67,5,8.24,12.3339996337891,5.21447910166067e-316,3.28543989750865,0.526155826049262,25.0617162430876,86.569,13.431,1.08463813215672,98.8435013,14
"Bulgaria",9.17,6.43,7.22,4.38,7.94,5.21099996566772,1.64405976002037e-317,4.01228802924223,3.83123442190116,64.7110998526161,75.008,24.992,-0.269102082353336,118.9396801,11
"Burkina Faso",4.42,4.29,4.44,5.63,5,6.0939998626709,3.57616028563184e-317,2.37753650415873,3.80050234414495,72.1912828947368,29.358,70.642,4.98415981781227,97.91227142,10
"Cabo Verde",9.17,7.86,6.67,6.88,8.82,12.1700000762939,1.1531689800193e-318,1.52382748029073,3.32584693784742,134.929776674938,65.732,34.268,1.87888979052915,112.2407207,10
"Camerún",3.17,2.86,3.33,4.38,2.65,3.35700011253357,5.44640478051527e-317,1.59928885997273,1.37919198196641,53.3439889149796,56.374,43.626,3.67693315164019,73.19019901,6
"Canadá",9.58,9.64,7.78,8.75,10,5.83099985122681,1.00517250512572e-316,1.81459782668129,0.597463557030892,4.07518823864492,81.411,18.589,1.47290288037893,89.57894095,10
"Chad",0,0,1.67,3.75,2.65,1.83800005912781,2.86008475963489e-317,5.0146577780751,-0.674995563522558,12.2917336404066,23.059,76.941,3.89908834293785,45.12373876,10
"Chile",9.58,8.57,4.44,8.13,9.12,7.23299980163574,4.63983619082604e-317,2.36047931576597,2.51338504277558,25.1894460666519,87.564,12.436,1.47555844683509,134.4373213,12
"China",0,5,3.89,6.25,1.47,4.27600002288818,3.87062950732329e-315,3.49796591201293,6.26604182706623,148.348833270666,59.152,40.848,2.49162820140588,115.5258122,9
"Chipre",9.17,6.43,6.67,6.88,8.82,8.36999988555908,3.09143297456264e-318,1.36762213175116,2.79501433288559,128.708333333333,66.81,33.19,0.77031383453709,138.900486,10
"Colombia",9.17,6.79,5,5.63,8.24,9.11100006103516,1.29588819152996e-316,4.48347809655093,0.971629907629179,44.7487021180712,80.778,19.222,1.92912026786277,129.9086097,12
"Comoras",4.33,2.21,4.44,3.75,3.82,4.30200004577637,1.07301671029448e-318,1.16280654817258,1.14050990405651,447.244477540227,28.965,71.035,2.8658559669186,59.94110452,6
"Costa Rica",9.58,7.5,6.67,7.5,9.12,9.63199996948242,1.20841441240598e-317,2.54095145370013,1.64419088626954,97.9130630630631,79.34,20.66,1.98274148495537,169.9306983,13
"Croacia",9.17,6.07,5.56,5,7.06,8.43200016021729,8.8671443656066e-318,1.77118185114836,3.6163642431529,73.0493745532523,56.947,43.053,-0.400587697691305,105.5834549,8
"Cuba",1.08,3.57,3.33,4.38,2.65,1.70000004768372,2.51918440466089e-317,1.00407709893717,2.2585896849249,108.999596231494,77.037,22.963,0.068028841812254,47.39153727,9
"Dinamarca",10,9.29,8.33,9.38,9.12,4.97499990463257,1.48948737019377e-317,0.845682604608839,1.88489021571982,137.976565849012,87.874,12.126,0.629088602704045,125.4530064,10
